"addon"
{
	"Team1Name"														"Lumi Guard"
	"Team2Name"														"Dark Legion"
	"FlyoutScoreboard"														"Player Info( J )"

	"Round"														"Round"
	"BossLevel"														"Enhance Level"
	"BossLevelUp"														"Enhance the King"
	"BossLevelUpSuccess"														"Level up the King"
	"BossADLevelIsMax"														"Attack enhancement reaches max level!"
	"BossHLevelIsMax"														"HP enhancement reaches max level!"
	"BossHRLevelIsMax"														"Recovery enhancement reaches max level!"
	"DOTA_SHOP_NAME_SIDE"														"Recruit mercenary"
	"crystalshop_title"														"Military"
	"hireshop_way"														"Mercenary path"
	"hireshop_nowway"														"Current path"
	"hireshop_hire"														"Mercenary"
	"way0"														"Default"
	"way1"														"Path 1"
	"way2"														"Path 2"
	"way3"														"Path 3"
	"way4"														"Path 4"
	"MapInfo"													"For The King: Beacon Fire"
	"MapInfo_Description"														"Creater: <font color='#FF8000'>无双</font> | <font color='#FF8000'>Demon</font> | <font color='#FF8000'>nat</font><br>Email: zhuzes@gmail.com<br>Website: http://www.dota2rpg.com<br>English Translator: <font color='#FF8000'>Rabbitism兔基</font>(popmessiah@126.com)"
	"Crystal"														"Crystal"
	"Income"														"Income"
	"Income_Description"														"Basic income: <font color='#ffd990'>{d:baseincome}</font><br>Extra income: <font color='#ffd990'>{d:extraincome}</font>"
	"Score"														"Troops"
	"AllScore"														"Total troops"
	"Worker"														"Collect"
	"Food"														"Food"
	"FlyoutScoreboardKey"														"HotKey:J<br>Show all players' info<br>(Enemy info unavailable before round 8)"
	"CrystalShopKey"														"HotKey:K<br>Spend crystal to recruit or enhance your troops"
	"StopHeroWarning"														"Keep commander away from front line"
	"InvalidWay"														"Invalid path!"
	"NoStock"														"Out of stock!"
	"NoEnoughMoney"														"Not enough gold!"
	"NoEnoughFood"														"Not enough food!"
	"NoEnoughLumber"														"Not enough crystal!"
	"MaxTechLevel"														"Already reach max tech level!"
	"NoEnoughScore"														"Not enough troops!"
	"NoEnoughScore600"														"Less than 600 troops!"
	"NoEnoughScore1000"														"Less than 1000 troops!"
	"NoEnoughScore2000"														"Less than 2000 troops!"
	"NoEnoughScore5000"														"Less than 5000 troops!"
	"MaxFarmerNum"														"Collectors number reaches maximum!"
	"MaxFullFood"														"Food level reaches maximum!"
	"UpFoodFinish"														"Food level up!"
	"UpTechFinish"														"Crystal efficiency level up!"
	"UpFarmerFinish"														"Crystal collector recruited!"
	"CantTarget"														"Cannot use on this target!"
	"ShowToEnemy"														"Enemy info unavailable before round 8"

	"BossLevelup_AttackDamage"														"Enhance Attack"
	"BossLevelup_AttackDamage_Description"														"Grant your king <font color='#FF8000'>10</font> attack damage<br>And your troops<font color='#FF8000'>1</font> attack damage<br><font color='#FA5858'>Max level: 20</font><br><font color='#FFD700'>Income: 2</font>"
	"BossLevelup_Health"														"Enhance HP"
	"BossLevelup_Health_Description"														"Grant your king <font color='#FF8000'>350</font> Max HP<br>And your troops <font color='#FF8000'>35</font> Max HP<br><font color='#FA5858'>Max level: 20</font><br><font color='#FFD700'>Income: 2</font>"
	"BossLevelup_HealthRegen"														"Enhance Recovery"
	"BossLevelup_HealthRegen_Description"														"Grant your king <font color='#FF8000'>2.5</font> health regeneration<br> And your troops <font color='#FF8000'>0.25</font> health regeneration<br><font color='#FA5858'>Max level: 20</font><br><font color='#FFD700'>Income: 2</font>"

	"item_hire_1"														"Jackal Thief"
	"item_hire_1_Description"														"Attack: <font color='#FF8000'>4 - 5</font>            Attack Type: <font color='#FF8000'>Normal</font><br>Attack Speed: <font color='#FF8000'>1.35s/time</font><br>Attack range: <font color='#FF8000'>100/Melee</font><br>—————————————<br>HP: <font color='#FF8000'>66</font><br>Armor: <font color='#FF8000'>0</font>                   Armor Type: <font color='#FF8000'>Medium</font><br>—————————————<br>Abilities: <font color='#088A29'>Evasion</font><br><font color='#FA5858'>25% evasion chance</font><br><font color='#4169E1'>Crystal cost: {d:crystal}</font><br><font color='#FFD700'>Income increase: {d:income}</font>"

	"item_hire_2"														"Toss Troll"
