"addon"
{
	"Team1Name"														"Lumi Guard"
	"Team2Name"														"Dark Legion"
	"FlyoutScoreboard"														"Player Info( J )"

	"Round"														"Round"
	"BossLevel"														"Enhance Level"
	"BossLevelUp"														"王の強化"
	"BossLevelUpSuccess"														"王のレベルアップ"
	"BossADLevelIsMax"														"攻撃強化は最大レベルに達しています。"
	"BossHLevelIsMax"														"HP強化は最大レベルに達しています。"
	"BossHRLevelIsMax"														"回復速度強化は最大レベルに達しています。"
	"DOTA_SHOP_NAME_SIDE"														"傭兵を雇う"
	"crystalshop_title"														"Military"
	"hireshop_way"														"傭兵出撃レーン"
	"hireshop_nowway"														"現在のレーン"
	"hireshop_hire"														"傭兵"
	"way0"														"デフォルト"
	"way1"														"レーン1"
	"way2"														"レーン2"
	"way3"														"レーン3"
	"way4"														"レーン4"
	"MapInfo"													"For The King: Beacon Fire"
	"MapInfo_Description"														"Creater: <font color='#FF8000'>无双</font> | <font color='#FF8000'>Demon</font> | <font color='#FF8000'>nat</font><br>Email: zhuzes@gmail.com<br>Website: http://www.dota2rpg.com<br>English Translator: <font color='#FF8000'>Rabbitism兔基</font>(popmessiah@126.com)"
	"Crystal"														"Crystal"
	"Income"														"Income"
	"Income_Description"														"基本収入: <font color='#ffd990'>{d:baseincome}</font><br>追加収入: <font color='#ffd990'>{d:extraincome}</font>"
	"Score"														"Troops"
	"AllScore"														"合計troop"
	"Worker"														"Collect"
	"Food"														"Food"
	"FlyoutScoreboardKey"														"HotKey:J<br>全プレイヤーの情報を見る<br>(ラウンド8より前の時は敵の情報は見られません。)"
	"CrystalShopKey"														"HotKey:K<br>クリスタルを使い、兵をアップグレード・登用する。"
	"StopHeroWarning"														"コマンダーは前線には行けません。"
	"InvalidWay"														"Invalid path!"
	"NoStock"														"Out of stock!"
	"NoEnoughMoney"														"ゴールドが足りません。"
	"NoEnoughFood"														"Foodが足りません。"
	"NoEnoughLumber"														"クリスタルが足りません。"
	"MaxTechLevel"														"既に最大まで研究しています。"
	"NoEnoughScore"														"Troopが足りません。"
	"NoEnoughScore600"														"Troopが600未満です。"
	"NoEnoughScore1000"														"Troopが1000未満です。"
	"NoEnoughScore2000"														"Troopが2000未満です。"
	"NoEnoughScore5000"														"Troopが5000未満です。"
	"MaxFarmerNum"														"収集者の数が最大になりました！"
	"MaxFullFood"														"Foodのレベルが歳代になりました！"
	"UpFoodFinish"														"Foodレベルアップ!"
	"UpTechFinish"														"クリスタル収集効率レベルアップ！"
	"UpFarmerFinish"														"クリスタル収集者を雇いました。"
	"CantTarget"														"この対象に使うことは出来ません。"
	"ShowToEnemy"														"ラウンド8まで敵の情報は見られません。"

	"BossLevelup_AttackDamage"														"Enhance Attack"
	"BossLevelup_AttackDamage_Description"														"王の攻撃力を<font color='#FF8000'>10</font>上昇させる。<br>兵士の攻撃力を<font color='#FF8000'>1</font>上昇させる。 <br><font color='#FA5858'>最大レベル: 20</font><br><font color='#FFD700'>Income: 2</font>"
	"BossLevelup_Health"														"Enhance HP"
	"BossLevelup_Health_Description"														"王の最大HPを <font color='#FF8000'>350</font>上昇させる。<br>兵士の攻撃力を<font color='#FF8000'>35</font>上昇させる。<br><font color='#FA5858'>最大レベル: 20</font><br><font color='#FFD700'>Income: 2</font>"
	"BossLevelup_HealthRegen"														"Enhance Recovery"
	"BossLevelup_HealthRegen_Description"														"王のHP回復速度を<font color='#FF8000'>2.5</font> 上昇させる。<br>兵士の攻撃力を<font color='#FF8000'>0.25</font>上昇させる。<br><font color='#FA5858'>最大レベル: 20</font><br><font color='#FFD700'>Income: 2</font>"

	"item_hire_1"														"Jackal Thief"
	"item_hire_1_Description"														"Attack: <font color='#FF8000'>4 - 5</font>            Attack Type: <font color='#FF8000'>Normal</font><br>Attack Speed: <font color='#FF8000'>1.35s/time</font><br>Attack range: <font color='#FF8000'>100/近接</font><br>—————————————<br>HP: <font color='#FF8000'>66</font><br>Armor: <font color='#FF8000'>0</font>                   Armor Type: <font color='#FF8000'>Medium</font><br>—————————————<br>アビリティ: <font color='#088A29'>Evasion</font><br><font color='#FA5858'>25%回避確率</font><br><font color='#4169E1'>クリスタルコスト: {d:crystal}</font><br><font color='#FFD700'>増える収入量: {d:income}</font>"

	"item_hire_2"														"Toss Troll"
